X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,GlobalID,CreationDate,Creator,EditDate,Editor
-77.2685353096456,38.8695554998464,"4890",STONEHURST,Site,Site, , ,FAIRFAX,"22031", ,"0","1",2023_24,a2733153-3247-4c6c-a8c6-b8df4b4e29a0,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1954208066441,38.8677675583003,"4891",GRAHAM ROAD COMMUNITY BUILDING,AC,Administrative Center, ,3036 GRAHAM RD,FALLS CHURCH,"22042", ,"5714232303","2",2023_24,23764d0f-230d-477e-bab1-d6bbc8b62b17,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3884965721558,38.783796134463,"4892",CLIFTON,Site,Site, ,7010 CLIFTON RD,CLIFTON,"20124",https://www.fcps.edu/about-fcps/history/closed/clifton,"0","4",2023_24,eb86fbb1-d271-4f30-b855-cc65295a5258,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2256191747136,38.8956684364314,"4893",DUNN LORING ADMINISTRATIVE CENTER,AC,Administrative Center, ,2334 GALLOWS RD,DUNN LORING,"22027", ,"7032044300","5",2023_24,14ef60db-458a-4eb3-a94f-cc2fd1275fa8,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2017640142729,38.85734468408,"4894",LEIS CENTER,AC,Administrative Center, ,7423 CAMP ALGER AVE,FALLS CHURCH,"22042", ,"7032087770","2",2023_24,b0685332-0773-4997-9e5c-f1f6f2c13158,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.2364781071726,38.8268265294463,"4895",SPRAGUE TECHNOLOGY CENTER,AC,Administrative Center, ,4414 HOLBORN AVE,ANNANDALE,"22003", ,"7035031600","5",2023_24,3da71b7f-fff8-4a02-a0a9-df94d59e579b,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1815587489145,38.8061220178399,"4896",PLUM CENTER,AC,Administrative Center, ,6815 EDSALL RD,SPRINGFIELD,"22151",https://www.fcps.edu/registration/adult-and-community-education-registration,"7036581201","3",2023_24,e57c015e-b790-4db5-96ef-7ab54fd56d6e,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3031238324374,38.8192407308229,"4897",SIDEBURN SUPPORT CENTER,AC,Administrative Center, ,5025 SIDEBURN RD,FAIRFAX,"22032", ,"7037642405","4",2023_24,a60630c8-3d3e-4b42-92d0-4892d0859c03,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.0962709467707,38.7910516716716,"4898",WILTON WOODS ADMINISTRATIVE CENTER,AC,Administrative Center, ,3701 FRANCONIA RD,ALEXANDRIA,"22310", ,"7033297400","3",2023_24,62471b34-7e01-4ccb-a46a-c437fdabed67,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1023309581883,38.7744990568373,"4899",VIRGINIA HILLS CENTER,AC,Administrative Center, ,6520 DIANA LN,ALEXANDRIA,"22310",https://www.fcps.edu/registration/early-childhood-prek/early-childhood-child-find,"7033171400","6",2023_24,000882d5-48f7-4629-adf1-1d2c71002b98,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
