X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,GlobalID,CreationDate,Creator,EditDate,Editor
-77.264810598451,38.9466317649954,"4695",COLVIN RUN,ES,Elementary School,K-6,1400 TRAP RD,VIENNA,"22182",https://colvinrunes.fcps.edu/,"7037573000","1",2023_24,a1e3e37e-50ef-4337-ab6a-1d6c4c2e07a7,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.4045884272331,38.9463751301116,"4696",MCNAIR,ES,Elementary School,K-2,2499 THOMAS JEFFERSON DR,HERNDON,"20171",https://mcnaires.fcps.edu/,"7037934800","5",2023_24,c027d45e-054e-4e3b-b180-8cb88d19d9a0,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.4191932903693,38.9520856051523,"4697",COATES,ES,Elementary School,K-6,2480 RIVER BIRCH RD,HERNDON,"20171",https://coateses.fcps.edu/,"7037133000","5",2023_24,a6194f8f-0b1f-4af3-ac04-342ef159ad72,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.1746119310306,38.9353402365019,"4698",FRANKLIN SHERMAN,ES,Elementary School,K-6,6633 BRAWNER ST,MCLEAN,"22101",https://franklinshermanes.fcps.edu/,"7035067900","2",2023_24,f86a2a9c-2d78-425f-af61-5a1484c8590c,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.228440973071,38.9394067360196,"4699",SPRING HILL,ES,Elementary School,K-6,8201 LEWINSVILLE RD,MCLEAN,"22102",https://springhilles.fcps.edu/,"7035063400","1",2023_24,0dfe6b8a-6b33-4317-97b3-ba6f89a68d61,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3202214852457,38.9402710496429,"4700",SUNRISE VALLEY,ES,Elementary School,K-6,10824 CROSS SCHOOL RD,RESTON,"20191",https://sunrisevalleyes.fcps.edu/,"7037153800","1",2023_24,c31e3351-c413-4b06-a7eb-70e600d94876,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3429757926263,38.9367391154123,"4701",TERRASET,ES,Elementary School,K-6,11411 RIDGE HEIGHTS RD,RESTON,"20191",https://terrasetes.fcps.edu/,"7033905600","1",2023_24,e7daa22c-95e6-42ce-b851-0903edd9fa4a,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3614994004498,38.9322275756603,"4702",HUNTERS WOODS,ES,Elementary School,K-6,2401 COLTS NECK RD,RESTON,"20191",https://hunterswoodses.fcps.edu/,"7032627400","1",2023_24,637171f0-e3af-424f-8dbf-40fafda66747,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.3710324118935,38.9427106791701,"4703",DOGWOOD,ES,Elementary School,K-6,12300 GLADE DR,RESTON,"20191",https://dogwoodes.fcps.edu/,"7032623100","1",2023_24,4391a6ec-bcdb-4200-a62a-56212dfb5ae7,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
-77.4143931786717,38.9356907789072,"4704",FLORIS,ES,Elementary School,K-6,2708 CENTREVILLE RD,HERNDON,"20171",https://florises.fcps.edu/,"7035612900","5",2023_24,6c5cb1a0-eff7-4383-b9e9-677e986cc192,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty
